college_name,campus,program_name,degree,duration_terms,course_list,college_id,source
College of Engineering & Technology,Smart Village,College of Engineering & Technology-Smart Village | AASTMT News People Pages Web College of Engineering & Technology Smart Village Apply Now About Overview Vision & Mission Educational Objectives College Values Ethics Departments Architectural Engineering & Environmental Design Basic and Applied Sciences Construction & Building Engineering Mechanical Engineering Electrical Energy Engineering Electronics & Communication Engineering Computer Engineering department Undergraduate Accreditation Regulations Admission Requirements Enrollment Documents Fees and Scholarships Academic Regulations Code of Conduct International and exchange programs Student Outcomes Dual Degree Programs Curriculum and Brief Description Facilities Smart Village Engineering Library Training & Visiting Trips Laboratory Facilities College Facilities Faculty & Staff Administration Faculty Members Staff Jobs Partnerships and industry Online Faculty Newsletter Service Undergraduate Schedules Post Graduate studies Master's of Science Electronics and Communication Engineering Mechanical Engineering Renewable Energy and Environmental Engineering Architecture Engineering and Environmental design Construction and building Engineering College of Engineering & Technology Success Stories Home Colleges College of Engineering & Technology All Success Stories Every Graduate has a Story to tell Load More Success Stories Explore The Academy About AASTMT Maritime Admission Campuses Student Affairs Services Academics Education Colleges Arab Academy International Study Center Deaneries Institutes Centers Complexes Certificates Verification Get In Touch Contact Us Maps and Locations Virtual Tour Jobs and Vacancies Stay Connected News People Pages Web © 2025 | All Right Reserved - AASTMT Policies & Terms of Use Copyright Sitemap Policies for Social Media Accounts,Master's,,AASTMT Policies & Terms of Use Copyright Sitemap Policies for Social Media Accounts,COLLEGE_,aast_v2_output/html\plain_aast.edu_en_colleges_coe_smartvillage_success-stories.php.html
Architectural Engineering and Environmental Design,South Valley,social sciences and humanities devoted to study of,,,,ARCHITEC,aast_v2_output/html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=644.html
Architectural Engineering and Environmental Design,South Valley,"an interior designer's duties include a broad range of specialized skills. Planning Your Career Path Discover growing job marekts and identify carrers that match your skill Career Path You Can Pursue whith an Architecture Degree Featured Links Explore More The Department Provides an abundance of opportunities to engane whith.... Student Life Student Life The essentials of life on campus Partnerships Partnerships Partnerships is one of the easiest materials What People Say What People Say Landscaping is one of the easiest materials Accreditation Accreditation Accreditation is one of the easiest materials Success Stories Success Stories Our Graduates' Success Stories Services & Facilities Services & Facilities Services is one of the easiest materials Our Latest News Events Announcements Albums Architecture Sketching Workshop General MAR  09,  2020 Read all News No Data Available Now Read all Events No Data Available Now MORE Media No Data Available Now Read all Announcement Explore The Academy About AASTMT Maritime Admission Campuses Student Affairs Services Academics Education Colleges Arab Academy International Study Center Deaneries Institutes Centers Complexes Certificates Verification Get In Touch Contact Us Maps and Locations Virtual Tour Jobs and Vacancies Stay Connected News People Pages Web © 2025 | All Right Reserved - AASTMT Policies & Terms of Use Copyright Sitemap Policies for Social Media Accounts",,,,ARCHITEC,aast_v2_output/html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=644.html
Basic and Applied sciences,South Valley,Basic and Applied sciences,,,,BASIC_AN,aast_v2_output/html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=645.html
Electronics and Communications,South Valley,Electronics and Communications,,,,ELECTRON,aast_v2_output/html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=647.html
Mechanical Engineering,South Valley,Mechanical Engineering,,,,MECHANIC,aast_v2_output/html\plain_aast.edu_en_colleges_coe_southValley_dept_index.php_unit_id=648.html
College of Maritime Transport & Technology,,College of Maritime Transport & Technology,,,,COLLEGE_,aast_v2_output/html\plain_aast.edu_en_colleges_comt_latakia_.html
Graduate School of Business,"Alexandria, Cairo, El Alamein, Miami, Port Said",among universities and educational institutions in the Arab,Diploma,,"world. Vision,; Mission & Values AASTMT; Strategic Plan 2021-2026 History &; Landmarks Services; Offered to Arab Countries Success; your Program Education and",GRADUATE,aast_v2_output/html\plain_aast.edu_en_colleges_gsb_Alex_.html
Graduate School of Business,"Cairo, Heliopolis",Graduate School of Business,MBA,,,GRADUATE,aast_v2_output/html\plain_aast.edu_en_colleges_gsb_cairo_.html
Graduate School of Business,"Cairo, Smart Village","Graduate School of Business - Smart Village | AASTMT Google News Staff Wednesday, 19th November, 2025 Toggle navigation About GSB Presidentâ€™s Word Vision & Mission College Values Faculty & Staff Administration Staff Programs MBA DBA GDM FAQs Alumni Contact Us Academics DBA MBA GDM Our Vision & Mission 45 Years of rooted history, commitment to world class education, dedication to innovation and... read more Our Values We strongly believe in our student's capabilities and potential, we are relentlessly ... read more Upcoming Events 31 MAR Educational Partnership Cooperation. It was great pleasure that the Graduate School of Business â€“ Smart Village Campus is presenting our orientation session to different industries as a part of our mission in enabling continuous education and fostering long term educational partnership cooperation & support.rnJAN 2017 to MARCH 2020 rnOur latest Orientation:rnACK Company on 10 FEB 2020rnIGI real estate Company on 30 JAN 2020rnFawry Company on 22 JAN 2020rnHuawei employees on 13 JAN 2020rnEtisalat MisrrnItida EgyptrnEricssonrnNokia more events GSB latest News The Next 12 Months - IT IS NOT TIME FOR SURVIVE BUT TO THRIVE 06 JUL 2020 The Graduate School of Business - Smart Village Campus has the pleasure to announce that our 3rd webinar will be on 11th July with Dr. Doaa Salman, Professor of Economics at October University for Managements and Arts (MSA), Head of the economics department and the Vice-dean ... read more The Next 12 Months | Turning Threats into Opportunities 23 JUN 2020 The Graduate School of Business - Smart Village Campus has the pleasure to announce that our 2nd webinar will be on 27th June with Dr. Raafat Radwan, Ex Managing Director of IDSC and WB Consultant. He will discuss ""Turning Threats into Opportunities"", Identifying the new  ... read more Watch our videos Our Photogallery Featured Links Frequently Asked Questions (FAQs) Smart Village Campus Student's Portal Alumni How to Reach Us Smart Village Smart Village , Cairo - Egypt Tel.: +2 02 35371064 Hotline: 19838 2025  © All Rights Reserved IDC | Arab Academy for Science, Technology & Maritime Transport",MBA,90,,GRADUATE,aast_v2_output/html\plain_aast.edu_en_colleges_gsb_smart_.html
AASTMT Practical Training,"Alamein, Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center,AASTMT_P,aast_v2_output/html\plain_aast.edu_en_colleges_practical-training_.html
Local Achievments,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; AASTMT Policies & Terms of Use Copyright Sitemap Policies for Social Media Accounts,LOCAL_AC,aast_v2_output/html\plain_aast.edu_en_colleges_practical-training_local-achievments.php.html
Student Training,"Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center,STUDENT_,aast_v2_output/html\plain_aast.edu_en_colleges_practical-training_local-training_all-ach.php_unit_id=539.html
Undergraduate Studies,"Alexandria, Cairo, Dokki, El Alamein, Heliopolis, Latakia, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; Valley Latakia; Syria Computing & Information Technology Alexandria Heliopolis Smart Village Port Said South; Valley International Transport & Logistics Alexandria Heliopolis Smart Village Dokki South; Valley El Alamein Port Said Latakia; AASTMT Policies & Terms of Use Copyright Sitemap Policies for Social Media Accounts,UNDERGRA,aast_v2_output/html\plain_aast.edu_en_colleges_undergraduate.php.html
Arab Dialogue Circle,"Alamein, Alexandria, Cairo, Smart Village","Arab Dialogue Circle Home About Theme Speakers Program Talks Gallery Presentations Under the Patronage and Honor of H.E. Mr. Ahmed Aboul Gheit Secretary-General of the Arab League We are honored to invite you to attend Arab Dialogue Circle on ""Artificial Intelligence in the Arab",,,,ARAB_DIA,aast_v2_output/html\plain_aast.edu_en_conferences_ADC-LAS_.html
Arab Dialogue Circle,"Alamein, Alexandria, Cairo, Smart Village","World"" At Headquarters of the  General Secretariat of the Arab League States in Cairo February 2-3, 2025 Jointly Organized by The Arab Academy for Science Technology, and Maritime Transport and Naif Arab University for Security Sciences Final Statement of the Arab Dialogue Circle on Artificial Intelligence in the Arab World: "" Innovative Applications and Ethical Challenges"" Under the patronage and presidency of His Excellency Mr. Ahmed Aboul Gheit, Secretary-General of the League of Arab States and Chairman of the Higher Coordination Committee for Joint Arab Action, and through the joint organization of the Arab Academy for Science, Technology, and Maritime Transport (AASTMT), headed by H.E. Prof. Dr. Ismail Abdel Ghafar, and Naif Arab University for Security Sciences (NAUSS), headed by H.E. Dr. Abdulmajeed Al-Banyan, in cooperation with the General Secretariat of the League of Arab States, the Arab Dialogue Forum on Artificial Intelligence (AI) in the Arab World: “Innovative Applications and Ethical Challenges,” was held over two days (2-3 February 2025) at the headquarters of the League of Arab States. The event was attended by H.E. Prof. Dr. Amr Talaat, Egyptian Minister of Communications and Information Technology and Chairman of the current session of the Arab Council of Ministers of Communications and Information and its Executive Bureau, along with H.E. Mr. Mohammed Al-Yamahi, President of the Arab Parliament, esteemed permanent representatives, and officials from Arab member states, as well as a distinguished group of international and Arab specialists in AI, senior officials from Arab ministries of communications and information, and representatives of Arab organizations and unions concerned with AI applications. Event Importance and Objectives The convening of this forum was in implementation of the Economic and Social Council Resolution No. 2444, in its regular session (114) in September 2024, which approved the decisions of the regular session (56) of the Higher Coordination Committee for Joint Arab Action in April 2024, and the decisions of the (28th) session of the Arab Council of Ministers of Communications and Information in January 2024. The objectives included: •	Exploring the latest global innovations in AI and promoting their adoption in the Arab world. •	Discussing the ethical and legislative challenges facing the employment of AI across various sectors. •	Developing a unified Arab vision for leveraging AI in a balanced way that ensures technological progress while preserving Arab values and culture. •	Enhancing Arab cooperation in AI to support sustainable development in the region. Dialogue Sessions The forum featured four main discussion panels: 1.	Panel 1: Modern Innovations in Artificial Intelligence: Exploring Global Trends and Applications in the Arab Region, with a focus on generative AI, drones, and robotics. This session was chaired by Prof. Dr. Ali Fahmy, Dean of the AI College at AASTMT. 2.	Panel 2: AI for Diplomacy and Peacekeeping: Prospects for International Cooperation and Conflict Prevention, chaired by H.E. Ambassador Hossam Zaki, Assistant Secretary-General and Head of the Secretary-General’s Office. 3.	Panel 3: Ethics of AI Usage: Focusing on the Importance of Ethical and Legislative Frameworks for AI Applications in the Arab World, chaired by H.E. Dr. Abdulmajeed Al-Banyan, President of NAUSS. 4.	Panel 4: Technical Session to Discuss Implementation Mechanisms of the Main Panels, chaired by H.E. Prof. Dr. Ismail Abdel Ghafar, President of AASTMT. Key Recommendations Based on the rich discussions, the participants arrived at several strategic recommendations supporting joint Arab action in AI, including: 1.	Launching a unified Arab initiative to foster innovation in AI, ensuring these innovations align with authentic Arab values. 2.	Proposing a common Arab legislative framework to regulate AI usage, balancing technological advancement with privacy and cybersecurity protection. 3.	Strengthening Arab and international cooperation by establishing specialized Arab platforms for exchanging expertise and knowledge in AI applications, with a focus on partnerships with leading international organizations. 4.	Prioritizing AI in national development plans of Arab states and promoting its role in fields such as education, healthcare, security, and digital infrastructure. 5.  Developing an Arab Charter on AI Ethics to define the ethical principles for using AI across various sectors, considering the cultural, religious, and legal dimensions of Arab countries. 6.	Establishing specialized research centers within Arab academic institutions, particularly supporting the Arab AI Center hosted by AASTMT in its Alamein branch in Egypt, under the League of Arab States framework, to study AI’s societal impact and promote research in this field. 7.	Launching specialized Arab training and capacity-building programs in AI targeting government employees, startups, and innovators to develop national competencies in this field. Organizing Committee The Higher Organizing Committee was chaired by H.E. Dr. Ali bin Ibrahim Al-Maliki, Assistant Secretary-General and Head of the Economic Affairs Sector at the League of Arab States, with the following members: •	Prof. Dr. Ali Fahmy, Dean of the AI College at AASTMT and Chairman of the Scientific Committee for the Dialogue Forum •	Minister Plenipotentiary Dr. Raed Al-Jubouri, Director of the Department of Arab Organizations and Unions •	Dr. Mostafa Rasheed, Assistant President of AASTMT for Arab Affairs and General Coordinator of the Forum •	Dr. Khalid Al-Harfash, Vice President of NAUSS for External Relations •	Minister Plenipotentiary Dr. Khalid Wali, Director of the Communication and IT Development Department at the League of Arab States •	Dr. Maryam Ammi, Director of the Partnerships and International Cooperation Department at NAUSS •	Engineer Soha Othman, Head of the AI Division at the Communication and IT Development Department •	Dr. Basma Abdullah, Head of the Technical Follow-up Unit at the AASTMT President’s Office and Secretary of the Committee Closing Session In the closing session chaired by H.E. Ahmed Aboul Gheit, it was agreed to include these recommendations in a historical document currently being prepared, which will outline actionable strategies. The document will be submitted to the (57th) session of the Higher Coordination Committee for Joint Arab Action, chaired by the Secretary-General of the League of Arab States, scheduled to be held in Tunisia from 13 to 15 April 2025, and to the upcoming session of the Arab Council of Ministers of Communications and Information and its Executive Bureau. The forum emphasized the continuation of dialogue and cooperation between Arab states and specialized Arab organizations to ensure optimal utilization of AI for sustainable development, digital security enhancement, and the preservation of Arab cultural identity. The Dialogue Circle’s Vision To position the Arab region as a global leader in harnessing",,,,ARAB_DIA,aast_v2_output/html\plain_aast.edu_en_conferences_ADC-LAS_.html
Arab Dialogue Circle,"Alamein, Alexandria, Cairo, Smart Village",and enriches cultural heritage Theme of the Arab Dialogue Circle Amid the rapid technological advancements and major digital,,,,ARAB_DIA,aast_v2_output/html\plain_aast.edu_en_conferences_ADC-LAS_.html
Arab Dialogue Circle,"Alamein, Alexandria, Cairo, Smart Village","position in the global AI landscape. Event program Download the Program as PDF Day 1 Day 2 Day One: Sunday, February 2, 2025 08:30 – 09:30 Registration for the Arab Dialogue Circle 09:30 – 10:45 | Opening Session of the Arab Dialogue Circle Presentation by : Dr. Mostafa Rashid Assistant President of the Arab Academy for Science, Technology and Maritime Transport Speech by: H.E. Prof. Dr. Ismail Abdel Ghaffar Ismail Farag President of",,,,ARAB_DIA,aast_v2_output/html\plain_aast.edu_en_conferences_ADC-LAS_.html
Arab Dialogue Circle,"Alamein, Alexandria, Cairo, Smart Village","for Artificial Intelligence Panelists Dr. Audreyhan James McCarthy Director of the Artificial Intelligence Program - United Nations Regional Crime and Justice Research Institute (UNICRI) Prof. Dr. Abdel Majid Ben Amara Secretary General of the Federation of Arab Scientific Research Councils Prof. Dr. Mohamed El Jemni Professor of Computer Science and Director of the Department of Communication and Information Technology - ALECSO - League of Arab States Prof. Dr. Alia Youssef Dean of the College of Computing and Information Technology - Smart Village Branch - Arab Academy for Science, Technology and Maritime Transport Dr. Mohammed Al-Jadaan Director of the Department of Artificial Intelligence Governance and Representative of the Saudi Data and Artificial Intelligence Authority - SDAIA - Kingdom of Saudi Arabia Dr. Hamad Ali Al Awad Director of Technology Affairs - Ministry of Interior - Kingdom of Saudi Arabia Ms. Alaa Abdel Aal Head of the Department of Artificial Intelligence and Digital Economy Foresight - Digital Cooperation Organization - Kingdom of Saudi Arabia 16:00 – 17:00 Lunch Day Two: Monday, February 3, 2025 10:00 – 12:30 | Technical Session A technical session to explore and discuss mechanisms for implementing the main pillars of the three dialogue circles. Expected Outcome The session will identify major cybersecurity threats in the AI era and",,,,ARAB_DIA,aast_v2_output/html\plain_aast.edu_en_conferences_ADC-LAS_.html
عن الاكاديمية,,التطوير والابتكار هما طريقتنا في الوصول إلى الريادة,,,,عن_الاكا,aast_v2_output/html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fabout%2Fcontenttemp.php%3Fpage_id%3D1000100025%26lnselect%3D2.html
كلية الهندسة و التكنولوجيا,Alexandria,كلية الهندسة و التكنولوجيا,,,,كلية_اله,aast_v2_output/html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcolleges%2Fcoe%2Falex%2F%26lnselect%3D2.html
New Applicants,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,master,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center,NEW_APPL,aast_v2_output/html\plain_aast.edu_en_info-for_applicants_.html
AASTMT Students,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,,100,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; Banking Services; Medical Services; Transportation Services; Outdoor Workshops and Exhibitions; Student Accommodation and Dorms; Practical Training; Success Stories; Competitions and Awards; work. CDC empowers you to achieve your goals and make up,AASTMT_S,aast_v2_output/html\plain_aast.edu_en_info-for_students_.html
Maritime Education & Training,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,,100,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center,MARITIME,aast_v2_output/html\plain_aast.edu_en_maritime_.html
President Biography,"Alexandria, Cairo",among universities and educational institutions in the Arab,Bachelor,,"world. Vision,; Mission & Values AASTMT; Strategic Plan 2021-2026 History &; Landmarks Services; Offered to Arab Countries Success; your Program Education and",PRESIDEN,aast_v2_output/html\plain_aast.edu_en_presidency_bio.php.html
Business Information Systems,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; Business Information Systems [BIS; Northampton] Business Administration; Business Information Systems [BIS; Northampton] Business Information Systems | English Overview Structure Career Admission Accreditation; & Cooperation Program,BUSINESS,aast_v2_output/html\plain_aast.edu_en_programs-courses_program.php_unit_id=232&program_id=411&language_id=1.html
Business Information Systems,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein","- BIS graduates are leaders as Web/System analysts, Web/System designers, Web/System developers, Mobile Application developers, Social Media specialists, ERP specialists, Business Intelligence specialits and Database analysts. Admission Requirements High school certificate with minimum grade Tests & Prerequisites English test with minimum score Cooperation University of Northampton Accreditation Supreme Council of Egyptian Universities (SCU) National Authority for Quality Assurance and Accreditation of Education, NAQAA ISO 9001 Certificate for Educational Processes Brief Dual degree program between University of Northampton and the Business Information Systems (BIS) department, College of Management and Technology (CMT), Arab Academy for Science Technology and Maritime Transport (AASTMT).. Degree Bachelor Area of study: Business and Managment Duration: 8 Terms Credit hours: 144.00 hrs Apply Now Share On: Start your Application Start The Journey to your Career. Join us NOW Explore The Academy About AASTMT Maritime Admission Campuses Student Affairs Services Academics Education Colleges Arab Academy International Study Center Deaneries Institutes Centers Complexes Certificates Verification Get In Touch Contact Us Maps and Locations Virtual Tour Jobs and Vacancies Stay Connected News People Pages Web © 2025 | All Right Reserved - AASTMT Policies & Terms of Use Copyright Sitemap Policies for Social Media Accounts class=""fa fa-angle-up"">",Bachelor,8,,BUSINESS,aast_v2_output/html\plain_aast.edu_en_programs-courses_program.php_unit_id=232&program_id=411&language_id=1.html
College of Management & Technology,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein","HULL program will be offered as a double degree for students studying in the College of Management & Technology at the Academy's headquarters in Alexandria, Alamein. Learning Outcomes Each courses, should covers all learning outcomes from the following broad categories:",,,"courses, should covers all learning outcomes from the following broad categories:",COLLEGE_,aast_v2_output/html\plain_aast.edu_en_programs-courses_program.php_unit_id=616&program_id=380&language_id=1.html
College of Management & Technology,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",Career The program offers three different tracks:,,,4. General and Transferable skills Markets,COLLEGE_,aast_v2_output/html\plain_aast.edu_en_programs-courses_program.php_unit_id=616&program_id=380&language_id=1.html
College of Management & Technology,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein","- Pledging to follow AASTMT rules and regulations Tests & Prerequisites - Passing admission exams determined by AASTMT. Cooperation University of Hull Accreditation Data will be available soon! Brief The University of Hull is a top-50 ranked public university for research. The institution was established in 1927 as University College Hull. The Royal Charter of 1954 granted the institution an authority to award its own degrees to students. As a result, it became the third university in Yorkshire and 14th university in England. Today, it is among the world's best universities for research and learning.Situated in England's port city Kingston upon Hull, the campus of the university is based in a residential area. The University has three central accommodations namely Westfield Court, The Courtyard, and Taylor Court that provide on-campus accommodation to the students. The campus also boasts of a number of cafeterias, bars, a nightclub, a book shop, career service, an advice center, and sporting facilities with the new sports hall and gym opening in 2019.. Term 1 Code Title Prequisites MTH111E Math (1) None ENG111E English for Business (1) None MGT111E Principles of Management (1) None BIS111E Introduction to Information Systems (1) None ECO111E Microeconomics None Term 2 Code Title Prequisites MGT121E Principles of Management (2) MGT111E MTH121E Math (2) MTH111E ECO121E Macroeconomics ECO111E ENG121E English for Business (2) ENG111E BIS121E Introduction to Information System (2) BIS111E Term 3 Code Title Prequisites MKT211E Principles of Marketing MGT121E MGT211E Organizational Behavior MGT121E STA211E Descriptive Statistics MTH111E MGT212E Operations Research MGT121E LAW211E Business Law None Term 4 Code Title Prequisites MGT222E Research Methodology STA211E & MGT121E MGT221E Production & Operations Mgt. MGT212E FIN221E Financial Management ACC121E & STA211E Term 5 Code Title Prequisites MGT311E Human Resources Mgt. MGT211E MGT312E Materials & Logistics Management MGT212E Term 6 Code Title Prequisites MGT411E Organizational Analysis & Design MGT121E MGT321E International Business Administration ECO121E & MKT211E Term 7 Code Title Prequisites MGT421E Strategic Management MGT311E & MGT411E Elective Courses Group 1 Code Title ELC487E Contemporary Issues in Business & Economics ELC471E Events management and planning Elective Courses Group 2 Code Title ELC462E Computer Applications in Business ELC486E Principles of Sociology ELC469E Human Computer Interaction track Marketing - Hull is major in Term track Finance - Hull is major in Term track Accounting - Hull is major in Term Degree Bachelor Area of study: Business and Managment Duration: 8 Terms Credit hours: 144.00 hrs Apply Now Share On: Start your Application Start The Journey to your Career. Join us NOW Explore The Academy About AASTMT Maritime Admission Campuses Student Affairs Services Academics Education Colleges Arab Academy International Study Center Deaneries Institutes Centers Complexes Certificates Verification Get In Touch Contact Us Maps and Locations Virtual Tour Jobs and Vacancies Stay Connected News People Pages Web © 2025 | All Right Reserved - AASTMT Policies & Terms of Use Copyright Sitemap Policies for Social Media Accounts class=""fa fa-angle-up"">",Bachelor,8,"Hull is major in Term track Finance; Hull is major in Term track Accounting; AASTMT Policies & Terms of Use Copyright Sitemap Policies for Social Media Accounts class=""fa fa",COLLEGE_,aast_v2_output/html\plain_aast.edu_en_programs-courses_program.php_unit_id=616&program_id=380&language_id=1.html
AASTMT Events,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,Bachelor,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; American Diploma Programs & Courses Non; American Diploma Programs & Courses Non; the fourteenth annual conference on Artificial Intelligence Impleme,AASTMT_E,aast_v2_output/html\plain_aast.edu_en_research_conference.php_language=1&view=1&unit_id=1&event_type_id=2.html
AASTMT Students,,AASTMT Students,,,CDC empowers you to achieve your goals and make up; date career decisions. International Agreements & Cooperation These are our International Academic Cooperation; a well,AASTMT_S,aast_v2_output/html\plain_aast.edu_en_students.php.html
AASTMT Success Stories,Alexandria,"AASTMT Success Stories Graduates Success Stories Home Success Stories Success Stories We pride ourselves at the Academy on supporting our students to become work-ready graduates by helping them to gain vital experience and acquire and develop the skills they need for their success as they go on to enjoy their chosen careers. They learn these skills during their courses, and the experience through internships or practical training opportunities we provide them. Our graduates leave with practical knowledge, skills, and the competitive edge to be successful in any business. Graduates Success Stories Meet our AASTMT graduates and  see how our courses and activities have benefited past students in their chosen career, and how they became business leaders and professionals. Mostafa Ezzat Founder & CTO of Lynks He studied Computer Engineering at AASTMT, and participated in the International Olympiad in Informatics 2009 Bulgaria. Winner of the 2009 Arab Collegiate Programming Contest (ACPC Egypt). Mohamed Taha Software Engineer at Google Search Zurich, Switzerland since 2008 He Studied Computer Engineering at the AAST BSc. & MSc., He participated in the International Olympiad in Informatics (IOIâ€™2002 Finland).Winner of the 2005 Arab Collegiate Programming Contest (ACPC Morocco). Hussein Ahmed Owner and founder of Transpose Technologies Inc. - worth $50 millions, and Founder of Oxygen Bank He studied Computer Engineering at AASTMT BSc. & MSc., and Ph.D at VT. His application won Best Digital Bank at NYC Benzinga Global FinTech Awards.He was granted permanent residence in the USA as a business leader Khaled Hussein Co-Founder & CTO of Tilt.com Company - worth $500 millions He studied Computer Science at AASTMT Bsc. 2005.He was ed by Times magazine in the 30 People Under 30 Changing the World in December 2013 All Graduates Stories Students Success We present you our students success stories to inspire you to create your own opportunities and find your career path Salem Nabil Abu Bakr College of Engineering and Technology, Mechanics Department, September 2019 Salem Nabil Abu Bakr graduated from the College of Engineering and Technology, Mechanics Department in September 2019.A journey that lasted for 5 years, which started by joining the Arab Academy for Science, Technology, and Maritime Transport in 2014. After joining the academy, I noticed that it took part in many scientific competitions and activities, such as remotely operated vehicles (ROV), mine detectors, formula, ACM competitions among others. The Academy has given me the opportunity to participate in many competitions in different fields through which I was able to choose the most suitable major for me. Hence, I joined the competition of ACM in 2015 and then the ROV and mine detectors competitions in 2016. Then in 2017, I joined the formula team, which works on designing complete race cars to be qualified to take part in international competitions. In the following year, we formed a full team comprised of different departments at  .. Full Story Nada Ahmed Mohamed Pearson BTEC level 5 HND diplomas in Mechanical Engineering from the Technical and Vocational Institute, Mechanical Department, 2015 Nada Ahmed Mohamed obtained the Pearson BTEC level 5 HND diplomas in Mechanical Engineering from the Technical and Vocational Institute, Mechanical Department, at AASTMT-Alexandria in 2015. At the moment, she is enrolled in the Higher Institute for Computers, Information Systems Department.Nada has participated in a number of international competitions and achieved impressive results. She came third in the International Robotics Competition, Japan 2007, and second in the First Lego Language Competition, Jordon 2008. She took part in the Egyptian Robotics Contest and achieved first place for Best Creative Robotics project. In 2010, she was sponsored by the Ministry of Communication and Information Technology to participate in the International Robotics Competition, held in Atlanta, USA. She was awarded first prize for designing robots, ahead of 85 international teams.  .. Full Story All Stories Invictus ROV Team (2019) Invictus ROVsâ€ is a company that has been building ROVs to participate in the MATE (Marine Advanced Technology Education) annual ROV competition since 2016. The company also builds custom-made ROVs for use in the maritime industry on a contract basis. Year 2019  Invictus achieved the first place on the regional level, and went on to represent Egypt in the International Competition, held in K .... More Arab Academy Motors Team (AAM Team) Arab academy motors is a pioneer academic team in Africa and the middle east region and a part of formula student racing teams where students design, build, test and race a prototype formula one style race car to compete against teams globally. The students are responsible not only for design, construction and tuning but also for finance, sponsorship, media and logistics, creating a  entrepreneuri .... More Achievements & Awards Share This Page on AASTMT is providing many educational tracks in terms of high quality and diversity of service in order to harmonize with the dynamic development. Follow Us : Important Links Photo Gallery quick Links Jobs and Vacancies Corporate Social Responsibility Maps and Locations Certificates Verification Contact Us Policies and Terms of Use | Copyright | Policies for Social Media Accounts Copyright © 2025  All Rights Reserved IDC - AASTMT Academics | Colleges | Training Continuing Education | Centers | Institutes | Complexes | Deaneries | Maps & Locations News People Pages Web",BSc,10,Founder & CTO of Tilt.com Company; made ROVs for use in the maritime indus,AASTMT_S,aast_v2_output/html\plain_aast.edu_en_success_stories_.html
